Player,Tm,Age,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Year,combineId,playerId,combineYear,combineHeight,combineWeight,collegeId,nflId,heightInches,weight,ageAtDraft,team_wins,team_losses,team_win_loss_perc,team_points,team_points_opp,team_points_diff,team_g,team_total_yards,team_plays_offense,team_yds_per_play_offense,team_turnovers,team_fumbles_lost,team_first_down,team_pass_cmp,team_pass_att,team_pass_yds,team_pass_td,team_pass_int,team_pass_net_yds_per_att,team_pass_fd,team_rush_att,team_rush_yds,team_rush_td,team_rush_yds_per_att,team_rush_fd,team_penalties,team_penalties_yds,team_pen_fd,team_score_pct,team_turnover_pct,team_exp_pts_tot
Brandon Lloyd,Dolphins,30.0,14.0,13.0,90.0,55.0,747.0,13.6,6.0,36.0,50.0,52.0,8.3,3.9,53.4,0.0,2006.0,15269.0,20030124.0,2003.0,72.1,184.0,61801.0,2505600.0,72.0,200.0,21.82191780821918,9.0,7.0,0.563,318.0,317.0,1.0,16.0,5198.0,1026.0,5.1,30.0,14.0,274.0,291.0,556.0,3300.0,22.0,16.0,5.7,159.0,444.0,1898.0,11.0,4.3,93.0,132.0,1055.0,22.0,28.7,14.4,-163.29
Antwaan Randle El,Commanders,27.0,14.0,14.0,101.0,55.0,790.0,14.4,6.0,36.0,48.5,68.0,7.8,3.9,56.4,2.0,2006.0,14943.0,20020062.0,2002.0,69.6,191.0,47405.0,2505060.0,70.0,185.0,22.69041095890411,10.0,6.0,0.625,359.0,293.0,66.0,16.0,5289.0,1037.0,5.1,27.0,16.0,301.0,278.0,481.0,3106.0,25.0,11.0,6.1,166.0,525.0,2183.0,15.0,4.2,114.0,108.0,925.0,21.0,29.7,13.0,-118.86
Bobby Wade,Seahawks,27.0,14.0,13.0,101.0,53.0,725.0,13.7,4.0,40.0,45.5,38.0,7.2,3.8,51.8,0.0,2006.0,15369.0,20030139.0,2003.0,70.3,193.0,85721.0,2505646.0,70.0,195.0,22.17808219178082,13.0,3.0,0.813,452.0,271.0,181.0,16.0,5915.0,1020.0,5.8,17.0,7.0,361.0,307.0,474.0,3458.0,25.0,10.0,6.9,192.0,519.0,2457.0,29.0,4.7,142.0,94.0,846.0,27.0,38.9,8.1,48.65
Jabar Gaffney,Chiefs,33.0,16.0,16.0,101.0,53.0,860.0,16.2,5.0,41.0,46.5,51.0,8.5,3.3,53.8,0.0,2006.0,14962.0,20020033.0,2002.0,73.1,193.0,32611.0,2505033.0,74.0,200.0,21.3972602739726,10.0,6.0,0.625,403.0,325.0,78.0,16.0,6192.0,1059.0,5.8,23.0,13.0,347.0,317.0,507.0,3810.0,17.0,10.0,7.1,182.0,520.0,2382.0,26.0,4.6,138.0,115.0,890.0,27.0,38.3,11.5,-15.0
Curtis Conway,Broncos,36.0,16.0,16.0,94.0,52.0,512.0,9.8,3.0,34.0,47.9,20.0,5.4,3.3,32.0,2.0,2006.0,12156.0,19930007.0,1993.0,72.3,185.0,90089.0,2500179.0,73.0,200.0,22.295890410958904,13.0,3.0,0.813,395.0,258.0,137.0,16.0,5766.0,1030.0,5.6,16.0,9.0,330.0,279.0,465.0,3227.0,18.0,7.0,6.6,162.0,542.0,2539.0,25.0,4.7,145.0,97.0,756.0,23.0,36.0,8.1,-52.48
Plaxico Burress,Steelers,22.0,16.0,4.0,86.0,49.0,824.0,16.8,2.0,40.0,55.8,67.0,9.6,3.1,51.5,5.0,2006.0,14373.0,20000008.0,2000.0,77.4,231.0,48824.0,2504253.0,77.0,232.0,22.69041095890411,11.0,5.0,0.688,389.0,258.0,131.0,16.0,5149.0,960.0,5.4,23.0,9.0,297.0,228.0,379.0,2926.0,21.0,14.0,7.1,144.0,549.0,2223.0,21.0,4.0,120.0,99.0,876.0,33.0,36.1,10.9,-59.51
Kevin Johnson,Bills,30.0,16.0,15.0,78.0,49.0,402.0,8.2,3.0,20.0,44.9,25.0,5.2,3.1,25.1,1.0,2006.0,12250.0,19930086.0,1993.0,73.3,306.0,77004.0,2501433.0,73.0,305.0,22.5013698630137,5.0,11.0,0.313,271.0,367.0,-96.0,16.0,4122.0,930.0,4.4,26.0,10.0,259.0,269.0,459.0,2515.0,18.0,16.0,5.0,129.0,428.0,1607.0,6.0,3.8,96.0,120.0,897.0,34.0,29.9,14.1,-230.91
Ricky Proehl,Chargers,27.0,15.0,12.0,70.0,48.0,659.0,13.7,0.0,35.0,60.0,38.0,9.4,3.2,43.9,0.0,2006.0,11131.0,19900058.0,1990.0,70.8,181.0,27106.0,2502556.0,72.0,190.0,22.13972602739726,9.0,7.0,0.563,418.0,312.0,106.0,16.0,5567.0,1022.0,5.4,28.0,12.0,337.0,338.0,526.0,3495.0,27.0,16.0,6.3,191.0,465.0,2072.0,22.0,4.5,116.0,110.0,890.0,30.0,39.3,13.5,-38.32
Doug Gabriel,Titans,28.0,16.0,15.0,98.0,46.0,737.0,16.0,3.0,36.0,41.8,39.0,7.5,2.9,46.1,2.0,2006.0,15203.0,20030167.0,2003.0,74.3,213.0,32816.0,2505605.0,74.0,215.0,22.676712328767124,4.0,12.0,0.25,299.0,421.0,-122.0,16.0,5122.0,1022.0,5.0,26.0,12.0,279.0,358.0,594.0,3597.0,20.0,14.0,5.8,191.0,397.0,1525.0,8.0,3.8,72.0,125.0,1002.0,16.0,26.4,13.5,-242.78
Joey Galloway,Eagles,25.0,16.0,15.0,88.0,46.0,816.0,17.7,8.0,34.0,52.3,60.0,9.3,2.9,51.0,0.0,2006.0,12845.0,19950008.0,1995.0,70.4,188.0,43210.0,2500744.0,71.0,197.0,23.435616438356163,6.0,10.0,0.375,310.0,388.0,-78.0,16.0,5109.0,1027.0,5.0,34.0,14.0,282.0,337.0,620.0,3677.0,21.0,20.0,5.6,182.0,365.0,1432.0,11.0,3.9,73.0,134.0,1130.0,27.0,24.8,14.7,-175.2
Koren Robinson,Seahawks,25.0,14.0,5.0,66.0,45.0,610.0,13.6,4.0,33.0,65.2,47.0,9.2,3.2,43.6,0.0,2006.0,14800.0,20010009.0,2001.0,73.5,211.0,27607.0,2504739.0,73.0,205.0,21.10410958904109,13.0,3.0,0.813,452.0,271.0,181.0,16.0,5915.0,1020.0,5.8,17.0,7.0,361.0,307.0,474.0,3458.0,25.0,10.0,6.9,192.0,519.0,2457.0,29.0,4.7,142.0,94.0,846.0,27.0,38.9,8.1,48.65
Dez White,Raiders,29.0,13.0,13.0,96.0,42.0,553.0,13.2,3.0,27.0,42.7,51.0,5.8,3.2,42.5,0.0,2006.0,14592.0,20000069.0,2000.0,73.3,218.0,30332.0,2504271.0,73.0,215.0,20.660273972602734,4.0,12.0,0.25,290.0,383.0,-93.0,16.0,4951.0,997.0,5.0,23.0,9.0,294.0,316.0,591.0,3582.0,21.0,14.0,5.6,189.0,361.0,1369.0,11.0,3.8,80.0,147.0,1132.0,25.0,28.4,11.5,-147.25
Corey Bradford,Jaguars,23.0,14.0,4.0,76.0,41.0,643.0,15.7,4.0,33.0,47.4,49.0,8.5,2.9,45.9,1.0,2006.0,13696.0,19980150.0,1998.0,72.6,197.0,39217.0,2499745.0,73.0,201.0,22.375342465753423,12.0,4.0,0.75,361.0,269.0,92.0,16.0,5149.0,1021.0,5.0,17.0,11.0,301.0,283.0,487.0,3190.0,21.0,6.0,6.1,170.0,502.0,1959.0,18.0,3.9,97.0,121.0,1006.0,34.0,32.1,8.3,-117.95
Joe Jurevicius,Chiefs,25.0,16.0,15.0,68.0,41.0,561.0,13.7,1.0,32.0,54.4,43.0,8.3,2.6,35.1,0.0,2006.0,13807.0,19980055.0,1998.0,76.9,231.0,16802.0,2501548.0,77.0,230.0,23.334246575342465,10.0,6.0,0.625,403.0,325.0,78.0,16.0,6192.0,1059.0,5.8,23.0,13.0,347.0,317.0,507.0,3810.0,17.0,10.0,7.1,182.0,520.0,2382.0,26.0,4.6,138.0,115.0,890.0,27.0,38.3,11.5,-15.0
Dante Hall,Rams,28.0,16.0,1.0,57.0,40.0,479.0,12.0,4.0,26.0,59.6,42.0,8.4,2.5,29.9,1.0,2006.0,14440.0,20000153.0,2000.0,67.8,191.0,77843.0,2504165.0,68.0,187.0,21.583561643835612,6.0,10.0,0.375,363.0,429.0,-66.0,16.0,5571.0,1025.0,5.4,37.0,13.0,314.0,392.0,599.0,4036.0,23.0,24.0,6.3,209.0,380.0,1535.0,13.0,4.0,82.0,131.0,941.0,23.0,32.3,18.5,-103.69
Tim Brown,Cardinals,25.0,16.0,8.0,74.0,40.0,740.0,18.5,4.0,30.0,45.9,58.0,10.0,2.5,46.3,1.0,2006.0,10297.0,19880006.0,1988.0,72.0,193.0,46556.0,2499869.0,72.0,195.0,21.77260273972603,5.0,11.0,0.313,311.0,387.0,-76.0,16.0,5575.0,1075.0,5.2,37.0,16.0,304.0,419.0,670.0,4437.0,21.0,21.0,6.2,224.0,360.0,1138.0,2.0,3.2,58.0,145.0,1184.0,22.0,34.0,18.0,-175.55
Robert Ferguson,Browns,32.0,13.0,8.0,65.0,40.0,495.0,12.4,3.0,31.0,55.4,52.0,7.6,3.1,38.1,0.0,2006.0,14674.0,20010041.0,2001.0,73.0,205.0,77843.0,2504680.0,73.0,219.0,21.35890410958904,6.0,10.0,0.375,232.0,301.0,-69.0,16.0,4550.0,938.0,4.9,30.0,13.0,241.0,297.0,497.0,3047.0,15.0,17.0,5.6,149.0,395.0,1503.0,4.0,3.8,76.0,99.0,770.0,16.0,25.8,16.9,-234.39
Terry Glenn,Falcons,24.0,16.0,16.0,83.0,39.0,436.0,11.2,7.0,22.0,38.6,34.0,5.3,2.4,27.3,0.0,2006.0,13137.0,19960007.0,1996.0,70.5,184.0,43210.0,2500816.0,71.0,196.0,21.75890410958904,8.0,8.0,0.5,351.0,341.0,10.0,16.0,5225.0,1021.0,5.1,29.0,16.0,313.0,247.0,451.0,2679.0,19.0,13.0,5.5,149.0,531.0,2546.0,17.0,4.8,139.0,114.0,1043.0,25.0,31.6,13.2,-80.52
Freddie Mitchell,Steelers,34.0,10.0,9.0,61.0,37.0,679.0,18.4,4.0,28.0,60.7,72.0,11.1,3.7,67.9,0.0,2006.0,14764.0,20010025.0,2001.0,71.4,185.0,90095.0,2504746.0,72.0,195.0,22.410958904109588,11.0,5.0,0.688,389.0,258.0,131.0,16.0,5149.0,960.0,5.4,23.0,9.0,297.0,228.0,379.0,2926.0,21.0,14.0,7.1,144.0,549.0,2223.0,21.0,4.0,120.0,99.0,876.0,33.0,36.1,10.9,-59.51
Kelly Campbell,Vikings,23.0,14.0,11.0,76.0,37.0,455.0,12.3,0.0,22.0,40.8,46.0,6.0,2.6,32.5,0.0,2006.0,14910.0,20020474.0,2002.0,70.1,171.0,30332.0,2504858.0,70.0,175.0,21.756164383561643,9.0,7.0,0.563,306.0,344.0,-38.0,16.0,4613.0,945.0,4.9,30.0,14.0,285.0,323.0,510.0,3146.0,18.0,16.0,5.6,169.0,381.0,1467.0,10.0,3.9,83.0,128.0,1013.0,33.0,27.9,14.2,-177.98
Ernest Wilford,Steelers,28.0,15.0,12.0,69.0,37.0,504.0,13.6,1.0,25.0,49.3,38.0,7.3,2.5,33.6,2.0,2006.0,15650.0,20040120.0,2004.0,75.6,226.0,24061.0,2506089.0,76.0,235.0,25.293150684931508,11.0,5.0,0.688,389.0,258.0,131.0,16.0,5149.0,960.0,5.4,23.0,9.0,297.0,228.0,379.0,2926.0,21.0,14.0,7.1,144.0,549.0,2223.0,21.0,4.0,120.0,99.0,876.0,33.0,36.1,10.9,-59.51
Reche Caldwell,Cowboys,27.0,16.0,7.0,48.0,36.0,516.0,14.3,4.0,28.0,62.5,53.0,10.8,2.3,32.3,1.0,2006.0,14908.0,20020048.0,2002.0,71.8,194.0,32611.0,2505046.0,72.0,210.0,23.07945205479452,9.0,7.0,0.563,325.0,308.0,17.0,16.0,5202.0,1071.0,4.9,31.0,14.0,318.0,300.0,500.0,3341.0,23.0,17.0,6.1,177.0,521.0,1861.0,13.0,3.6,97.0,99.0,739.0,44.0,28.9,15.5,-158.41
Bernard Berrian,Steelers,23.0,16.0,2.0,69.0,35.0,624.0,17.8,4.0,28.0,46.4,49.0,9.0,2.2,39.0,0.0,2006.0,15413.0,20040078.0,2004.0,73.0,183.0,93740.0,2506000.0,73.0,185.0,23.339726027397266,11.0,5.0,0.688,389.0,258.0,131.0,16.0,5149.0,960.0,5.4,23.0,9.0,297.0,228.0,379.0,2926.0,21.0,14.0,7.1,144.0,549.0,2223.0,21.0,4.0,120.0,99.0,876.0,33.0,36.1,10.9,-59.51
Tim Carter,Buccaneers,24.0,12.0,9.0,65.0,33.0,356.0,10.8,1.0,22.0,41.5,27.0,5.5,2.8,29.7,2.0,2006.0,14914.0,20020046.0,2002.0,71.9,190.0,36849.0,2505044.0,72.0,185.0,22.594520547945205,11.0,5.0,0.688,300.0,274.0,26.0,16.0,4716.0,985.0,4.8,23.0,9.0,268.0,303.0,487.0,2890.0,17.0,14.0,5.5,161.0,457.0,1826.0,13.0,4.0,83.0,131.0,1085.0,24.0,27.4,11.6,-198.56
Jonathan Carter,Steelers,24.0,13.0,7.0,54.0,32.0,745.0,23.3,5.0,28.0,53.7,76.0,13.8,2.5,57.3,0.0,2006.0,14644.0,20010162.0,2001.0,71.6,180.0,36082.0,2504601.0,72.0,180.0,22.10410958904109,11.0,5.0,0.688,389.0,258.0,131.0,16.0,5149.0,960.0,5.4,23.0,9.0,297.0,228.0,379.0,2926.0,21.0,14.0,7.1,144.0,549.0,2223.0,21.0,4.0,120.0,99.0,876.0,33.0,36.1,10.9,-59.51
Bethel Johnson,Commanders,27.0,16.0,16.0,63.0,32.0,351.0,11.0,3.0,20.0,46.0,34.0,5.6,2.0,21.9,2.0,2006.0,15240.0,20030045.0,2003.0,71.0,201.0,77843.0,2505505.0,71.0,200.0,24.21917808219178,10.0,6.0,0.625,359.0,293.0,66.0,16.0,5289.0,1037.0,5.1,27.0,16.0,301.0,278.0,481.0,3106.0,25.0,11.0,6.1,166.0,525.0,2183.0,15.0,4.2,114.0,108.0,925.0,21.0,29.7,13.0,-118.86
Michael Lewis,Falcons,25.0,16.0,5.0,65.0,30.0,506.0,16.9,0.0,18.0,36.9,55.0,7.8,1.9,31.6,1.0,2006.0,15024.0,20020058.0,2002.0,73.1,211.0,80309.0,2505055.0,73.0,222.0,21.98904109589041,8.0,8.0,0.5,351.0,341.0,10.0,16.0,5225.0,1021.0,5.1,29.0,16.0,313.0,247.0,451.0,2679.0,19.0,13.0,5.5,149.0,531.0,2546.0,17.0,4.8,139.0,114.0,1043.0,25.0,31.6,13.2,-80.52
Jerricho Cotchery,Panthers,25.0,14.0,2.0,51.0,28.0,357.0,12.8,3.0,14.0,43.1,42.0,7.0,2.0,25.5,0.0,2006.0,15450.0,20040108.0,2004.0,72.5,212.0,27607.0,2506004.0,73.0,205.0,21.87123287671233,11.0,5.0,0.688,391.0,259.0,132.0,16.0,4950.0,964.0,5.1,26.0,10.0,278.0,269.0,449.0,3271.0,25.0,16.0,6.9,157.0,487.0,1679.0,17.0,3.4,82.0,91.0,732.0,39.0,35.8,12.6,-104.34
Triandos Luke,Falcons,26.0,15.0,10.0,68.0,28.0,430.0,15.4,1.0,22.0,38.2,51.0,6.3,1.9,28.7,0.0,2006.0,15538.0,20040171.0,2004.0,71.0,199.0,35487.0,2505886.0,70.0,189.0,22.34794520547945,8.0,8.0,0.5,351.0,341.0,10.0,16.0,5225.0,1021.0,5.1,29.0,16.0,313.0,247.0,451.0,2679.0,19.0,13.0,5.5,149.0,531.0,2546.0,17.0,4.8,139.0,114.0,1043.0,25.0,31.6,13.2,-80.52
Andre King,Titans,24.0,16.0,10.0,53.0,27.0,384.0,14.2,4.0,21.0,45.3,53.0,7.2,1.7,24.0,0.0,2006.0,14735.0,20010245.0,2001.0,71.9,199.0,33124.0,2504668.0,71.0,195.0,27.41917808219178,4.0,12.0,0.25,299.0,421.0,-122.0,16.0,5122.0,1022.0,5.0,26.0,12.0,279.0,358.0,594.0,3597.0,20.0,14.0,5.8,191.0,397.0,1525.0,8.0,3.8,72.0,125.0,1002.0,16.0,26.4,13.5,-242.78
Nate Poole,Chiefs,28.0,15.0,0.0,40.0,26.0,204.0,7.8,2.0,15.0,50.0,19.0,5.1,1.7,13.6,2.0,2006.0,14788.0,20010490.0,2001.0,73.5,198.0,25755.0,2504442.0,74.0,204.0,24.232876712328768,10.0,6.0,0.625,403.0,325.0,78.0,16.0,6192.0,1059.0,5.8,23.0,13.0,347.0,317.0,507.0,3810.0,17.0,10.0,7.1,182.0,520.0,2382.0,26.0,4.6,138.0,115.0,890.0,27.0,38.3,11.5,-15.0
Alex Bannister,Eagles,26.0,16.0,3.0,34.0,24.0,348.0,14.5,2.0,20.0,64.7,45.0,10.2,1.5,21.8,1.0,2006.0,14613.0,20010140.0,2001.0,76.6,201.0,40475.0,2504617.0,77.0,207.0,22.01095890410959,6.0,10.0,0.375,310.0,388.0,-78.0,16.0,5109.0,1027.0,5.0,34.0,14.0,282.0,337.0,620.0,3677.0,21.0,20.0,5.6,182.0,365.0,1432.0,11.0,3.9,73.0,134.0,1130.0,27.0,24.8,14.7,-175.2
Devard Darling,Steelers,24.0,15.0,4.0,42.0,23.0,385.0,16.7,3.0,17.0,52.4,48.0,9.2,1.5,25.7,2.0,2006.0,15457.0,20040082.0,2004.0,73.1,213.0,99164.0,2505939.0,73.0,213.0,22.03835616438356,11.0,5.0,0.688,389.0,258.0,131.0,16.0,5149.0,960.0,5.4,23.0,9.0,297.0,228.0,379.0,2926.0,21.0,14.0,7.1,144.0,549.0,2223.0,21.0,4.0,120.0,99.0,876.0,33.0,36.1,10.9,-59.51
Andrae Thurman,Jets,28.0,16.0,7.0,40.0,23.0,347.0,15.1,1.0,12.0,45.0,50.0,8.7,1.4,21.7,1.0,2006.0,15632.0,20040742.0,2004.0,71.3,192.0,97520.0,2505868.0,71.0,192.0,23.51232876712329,4.0,12.0,0.25,240.0,355.0,-115.0,16.0,3970.0,907.0,4.4,34.0,19.0,251.0,268.0,470.0,2642.0,11.0,15.0,5.1,146.0,384.0,1328.0,10.0,3.5,74.0,98.0,801.0,31.0,25.6,16.7,-185.24
Ronald Bellamy,Vikings,26.0,16.0,0.0,42.0,23.0,307.0,13.3,2.0,14.0,45.2,40.0,7.3,1.4,19.2,0.0,2006.0,15153.0,20030505.0,2003.0,72.0,208.0,48109.0,2505395.0,72.0,205.0,21.339726027397266,9.0,7.0,0.563,306.0,344.0,-38.0,16.0,4613.0,945.0,4.9,30.0,14.0,285.0,323.0,510.0,3146.0,18.0,16.0,5.6,169.0,381.0,1467.0,10.0,3.9,83.0,128.0,1013.0,33.0,27.9,14.2,-177.98
Jermaine Lewis,Cardinals,30.0,15.0,3.0,35.0,23.0,209.0,9.1,2.0,13.0,54.3,26.0,6.0,1.5,13.9,3.0,2006.0,13209.0,19960153.0,1996.0,67.4,172.0,20740.0,2501746.0,67.0,183.0,21.526027397260275,5.0,11.0,0.313,311.0,387.0,-76.0,16.0,5575.0,1075.0,5.2,37.0,16.0,304.0,419.0,670.0,4437.0,21.0,21.0,6.2,224.0,360.0,1138.0,2.0,3.2,58.0,145.0,1184.0,22.0,34.0,18.0,-175.55
Johnnie Morant,Eagles,24.0,16.0,5.0,42.0,22.0,464.0,21.1,2.0,17.0,47.6,89.0,11.0,1.4,29.0,0.0,2006.0,15552.0,20040134.0,2004.0,76.0,229.0,13244.0,2506062.0,76.0,220.0,22.39452054794521,6.0,10.0,0.375,310.0,388.0,-78.0,16.0,5109.0,1027.0,5.0,34.0,14.0,282.0,337.0,620.0,3677.0,21.0,20.0,5.6,182.0,365.0,1432.0,11.0,3.9,73.0,134.0,1130.0,27.0,24.8,14.7,-175.2
Troy Walters,Browns,29.0,13.0,6.0,45.0,22.0,228.0,10.4,0.0,10.0,35.6,43.0,5.1,1.7,17.5,1.0,2006.0,14584.0,20000165.0,2000.0,66.5,171.0,94305.0,2504176.0,68.0,171.0,23.34794520547945,6.0,10.0,0.375,232.0,301.0,-69.0,16.0,4550.0,938.0,4.9,30.0,13.0,241.0,297.0,497.0,3047.0,15.0,17.0,5.6,149.0,395.0,1503.0,4.0,3.8,76.0,99.0,770.0,16.0,25.8,16.9,-234.39
Kevin Kasper,Dolphins,22.0,16.0,0.0,37.0,21.0,221.0,10.5,1.0,13.0,48.6,24.0,6.0,1.3,13.8,0.0,2006.0,14731.0,20010190.0,2001.0,72.0,199.0,52242.0,2504536.0,73.0,200.0,23.34246575342466,9.0,7.0,0.563,318.0,317.0,1.0,16.0,5198.0,1026.0,5.1,30.0,14.0,274.0,291.0,556.0,3300.0,22.0,16.0,5.7,159.0,444.0,1898.0,11.0,4.3,93.0,132.0,1055.0,22.0,28.7,14.4,-163.29
Darrell Jackson,Broncos,22.0,15.0,1.0,37.0,20.0,309.0,15.5,2.0,13.0,45.9,71.0,8.4,1.3,20.6,1.0,2006.0,14458.0,20000080.0,2000.0,71.8,197.0,32611.0,2504274.0,71.0,210.0,21.372602739726027,13.0,3.0,0.813,395.0,258.0,137.0,16.0,5766.0,1030.0,5.6,16.0,9.0,330.0,279.0,465.0,3227.0,18.0,7.0,6.6,162.0,542.0,2539.0,25.0,4.7,145.0,97.0,756.0,23.0,36.0,8.1,-52.48
Andre Johnson,Seahawks,25.0,16.0,7.0,37.0,18.0,192.0,10.7,2.0,9.0,40.5,36.0,5.2,1.1,12.0,2.0,2006.0,13184.0,19960030.0,1996.0,77.5,309.0,16802.0,2501408.0,77.0,314.0,22.66849315068493,13.0,3.0,0.813,452.0,271.0,181.0,16.0,5915.0,1020.0,5.8,17.0,7.0,361.0,307.0,474.0,3458.0,25.0,10.0,6.9,192.0,519.0,2457.0,29.0,4.7,142.0,94.0,846.0,27.0,38.9,8.1,48.65
Rod Gardner,Lions,29.0,6.0,0.0,27.0,17.0,147.0,8.6,0.0,7.0,51.9,23.0,5.4,2.8,24.5,0.0,2006.0,14682.0,20010015.0,2001.0,74.3,219.0,29631.0,2504772.0,74.0,219.0,23.5013698630137,5.0,11.0,0.313,254.0,345.0,-91.0,16.0,4319.0,955.0,4.5,30.0,12.0,258.0,297.0,520.0,2848.0,15.0,18.0,5.2,151.0,404.0,1471.0,10.0,3.6,69.0,115.0,838.0,38.0,24.6,15.6,-187.33
Randy Moss,Texans,25.0,16.0,2.0,21.0,17.0,160.0,9.4,0.0,12.0,61.9,15.0,7.6,1.1,10.0,1.0,2006.0,13847.0,19980021.0,1998.0,75.6,194.0,25755.0,2502220.0,76.0,210.0,21.18904109589041,2.0,14.0,0.125,260.0,431.0,-171.0,16.0,4053.0,954.0,4.2,24.0,11.0,243.0,270.0,449.0,2237.0,15.0,13.0,4.3,142.0,437.0,1816.0,9.0,4.2,89.0,106.0,854.0,12.0,28.9,12.7,-206.24
Lee Evans,Jets,31.0,9.0,2.0,19.0,16.0,112.0,7.0,0.0,7.0,57.9,15.0,5.9,1.8,12.4,1.0,2006.0,15474.0,20040013.0,2004.0,70.9,197.0,53706.0,2506097.0,72.0,210.0,23.136986301369863,4.0,12.0,0.25,240.0,355.0,-115.0,16.0,3970.0,907.0,4.4,34.0,19.0,251.0,268.0,470.0,2642.0,11.0,15.0,5.1,146.0,384.0,1328.0,10.0,3.5,74.0,98.0,801.0,31.0,25.6,16.7,-185.24
Curtis Conway,Chargers,25.0,12.0,0.0,32.0,15.0,210.0,14.0,3.0,9.0,37.5,46.0,6.6,1.3,17.5,0.0,2006.0,12156.0,19930007.0,1993.0,72.3,185.0,90089.0,2500179.0,73.0,200.0,22.295890410958904,9.0,7.0,0.563,418.0,312.0,106.0,16.0,5567.0,1022.0,5.4,28.0,12.0,337.0,338.0,526.0,3495.0,27.0,16.0,6.3,191.0,465.0,2072.0,22.0,4.5,116.0,110.0,890.0,30.0,39.3,13.5,-38.32
Jerome Pathon,Lions,31.0,9.0,2.0,25.0,14.0,164.0,11.7,0.0,9.0,56.0,23.0,6.6,1.6,18.2,1.0,2006.0,13865.0,19980032.0,1998.0,72.0,187.0,98195.0,2502417.0,72.0,195.0,22.353424657534248,5.0,11.0,0.313,254.0,345.0,-91.0,16.0,4319.0,955.0,4.5,30.0,12.0,258.0,297.0,520.0,2848.0,15.0,18.0,5.2,151.0,404.0,1471.0,10.0,3.6,69.0,115.0,838.0,38.0,24.6,15.6,-187.33
Ricky Proehl,Bears,24.0,10.0,0.0,23.0,14.0,282.0,20.1,3.0,11.0,52.2,75.0,12.3,1.4,28.2,0.0,2006.0,11131.0,19900058.0,1990.0,70.8,181.0,27106.0,2502556.0,72.0,190.0,22.13972602739726,11.0,5.0,0.688,260.0,202.0,58.0,16.0,4101.0,937.0,4.4,28.0,13.0,233.0,219.0,418.0,2002.0,11.0,15.0,4.5,111.0,488.0,2099.0,11.0,4.3,99.0,105.0,850.0,23.0,22.6,12.8,-257.69
Freddie Mitchell,Rams,25.0,16.0,0.0,19.0,13.0,136.0,10.5,1.0,6.0,47.4,28.0,7.2,0.8,8.5,2.0,2006.0,14764.0,20010025.0,2001.0,71.4,185.0,90095.0,2504746.0,72.0,195.0,22.410958904109588,6.0,10.0,0.375,363.0,429.0,-66.0,16.0,5571.0,1025.0,5.4,37.0,13.0,314.0,392.0,599.0,4036.0,23.0,24.0,6.3,209.0,380.0,1535.0,13.0,4.0,82.0,131.0,941.0,23.0,32.3,18.5,-103.69
Bethel Johnson,Patriots,26.0,11.0,6.0,20.0,11.0,142.0,12.9,1.0,9.0,45.0,33.0,7.1,1.0,12.9,0.0,2006.0,15240.0,20030045.0,2003.0,71.0,201.0,77843.0,2505505.0,71.0,200.0,24.21917808219178,10.0,6.0,0.625,379.0,338.0,41.0,16.0,5632.0,1031.0,5.5,24.0,9.0,334.0,352.0,564.0,4120.0,28.0,15.0,7.0,204.0,439.0,1512.0,16.0,3.4,101.0,110.0,921.0,29.0,34.8,13.0,-89.97
Alvis Whitted,Raiders,23.0,15.0,1.0,19.0,11.0,146.0,13.3,1.0,4.0,42.1,57.0,7.7,0.7,9.7,0.0,2006.0,13954.0,19980192.0,1998.0,71.5,184.0,27607.0,2503634.0,72.0,185.0,23.635616438356163,4.0,12.0,0.25,290.0,383.0,-93.0,16.0,4951.0,997.0,5.0,23.0,9.0,294.0,316.0,591.0,3582.0,21.0,14.0,5.6,189.0,361.0,1369.0,11.0,3.8,80.0,147.0,1132.0,25.0,28.4,11.5,-147.25
Johnnie Morant,Vikings,27.0,11.0,2.0,19.0,9.0,156.0,17.3,0.0,6.0,42.1,40.0,8.2,0.8,14.2,1.0,2006.0,15552.0,20040134.0,2004.0,76.0,229.0,13244.0,2506062.0,76.0,220.0,22.39452054794521,9.0,7.0,0.563,306.0,344.0,-38.0,16.0,4613.0,945.0,4.9,30.0,14.0,285.0,323.0,510.0,3146.0,18.0,16.0,5.6,169.0,381.0,1467.0,10.0,3.9,83.0,128.0,1013.0,33.0,27.9,14.2,-177.98
Keyshawn Johnson,49ers,28.0,16.0,3.0,31.0,8.0,150.0,18.8,1.0,5.0,19.4,75.0,4.8,0.5,9.4,1.0,2006.0,13187.0,19960001.0,1996.0,75.3,220.0,90089.0,2501435.0,76.0,211.0,23.76164383561644,4.0,12.0,0.25,239.0,428.0,-189.0,16.0,3587.0,865.0,4.1,35.0,14.0,191.0,204.0,389.0,1898.0,8.0,21.0,4.3,96.0,428.0,1689.0,9.0,3.9,70.0,106.0,780.0,25.0,21.9,16.3,-278.06
