Player,Tm,Age,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Year,combineId,playerId,combineYear,combineHeight,combineWeight,collegeId,nflId,heightInches,weight,ageAtDraft,team_wins,team_losses,team_win_loss_perc,team_points,team_points_opp,team_points_diff,team_g,team_total_yards,team_plays_offense,team_yds_per_play_offense,team_turnovers,team_fumbles_lost,team_first_down,team_pass_cmp,team_pass_att,team_pass_yds,team_pass_td,team_pass_int,team_pass_net_yds_per_att,team_pass_fd,team_rush_att,team_rush_yds,team_rush_td,team_rush_yds_per_att,team_rush_fd,team_penalties,team_penalties_yds,team_pen_fd,team_score_pct,team_turnover_pct,team_exp_pts_tot
Rod Smith,Titans,26.0,16.0,16.0,144.0,80.0,1247.0,15.6,11.0,62.0,51.4,48.0,8.7,5.0,77.9,3.0,2004.0,10533.0,19880882.0,1988.0,71.8,197.0,68588.0,2503757.7671509283,72.0,197.0,22.551298550532355,12.0,4.0,0.75,435.0,324.0,111.0,16.0,5501.0,1013.0,5.4,21.0,12.0,310.0,315.0,502.0,3878.0,30.0,9.0,7.4,211.0,486.0,1623.0,11.0,3.3,84.0,110.0,887.0,15.0,39.4,9.6,-103.79
Terrell Owens,Buccaneers,22.0,16.0,13.0,122.0,80.0,1193.0,14.9,7.0,56.0,61.5,75.0,9.8,5.0,74.6,1.0,2004.0,13258.0,19960089.0,1996.0,74.9,213.0,37403.0,2502377.0,75.0,224.0,22.383561643835616,7.0,9.0,0.438,301.0,264.0,37.0,16.0,5453.0,1036.0,5.3,31.0,9.0,307.0,369.0,592.0,3805.0,27.0,22.0,6.2,190.0,421.0,1648.0,5.0,3.9,86.0,117.0,1104.0,31.0,25.5,16.0,-214.9
Reggie Wayne,Steelers,28.0,16.0,16.0,108.0,80.0,1004.0,12.6,4.0,52.0,64.8,58.0,9.3,5.0,62.8,1.0,2004.0,14850.0,20010030.0,2001.0,72.0,198.0,33124.0,2504747.0,72.0,200.0,22.44109589041096,6.0,10.0,0.375,300.0,327.0,-27.0,16.0,4792.0,1020.0,4.7,28.0,11.0,275.0,306.0,532.0,3304.0,19.0,17.0,5.8,174.0,446.0,1488.0,10.0,3.3,77.0,111.0,1005.0,24.0,27.1,13.5,-166.93
Jimmy Smith,Texans,23.0,16.0,16.0,138.0,79.0,1142.0,14.5,6.0,53.0,51.4,54.0,8.3,4.9,71.4,1.0,2004.0,12002.0,19920036.0,1992.0,72.8,200.0,39217.0,2503028.0,73.0,202.0,23.22465753424657,5.0,11.0,0.313,255.0,380.0,-125.0,16.0,4306.0,896.0,4.8,27.0,9.0,237.0,248.0,439.0,2655.0,14.0,18.0,5.6,127.0,421.0,1651.0,14.0,3.9,86.0,121.0,961.0,24.0,24.5,13.8,-200.45
Keyshawn Johnson,Eagles,31.0,14.0,14.0,127.0,77.0,1200.0,15.6,14.0,51.0,55.1,59.0,9.4,5.5,85.7,2.0,2004.0,13187.0,19960001.0,1996.0,75.3,220.0,90089.0,2501435.0,76.0,211.0,23.76164383561644,12.0,4.0,0.75,374.0,287.0,87.0,16.0,5035.0,944.0,5.3,22.0,11.0,302.0,279.0,484.0,3020.0,17.0,11.0,5.7,156.0,417.0,2015.0,23.0,4.8,105.0,96.0,817.0,41.0,34.2,10.2,-80.82
Chris Chambers,Colts,26.0,16.0,16.0,115.0,77.0,1210.0,15.7,12.0,59.0,62.6,71.0,10.5,4.8,75.6,0.0,2004.0,14647.0,20010052.0,2001.0,71.6,210.0,53706.0,2504695.0,71.0,210.0,22.70684931506849,12.0,4.0,0.75,447.0,336.0,111.0,16.0,5874.0,1041.0,5.6,20.0,10.0,348.0,381.0,569.0,4179.0,29.0,10.0,7.1,212.0,453.0,1695.0,16.0,3.7,104.0,92.0,662.0,32.0,46.3,10.2,-13.96
Nate Burleson,Jaguars,35.0,16.0,16.0,137.0,74.0,1172.0,15.8,6.0,52.0,49.6,65.0,8.6,4.6,73.3,2.0,2004.0,15167.0,20030071.0,2003.0,73.0,197.0,89557.0,2505511.0,72.0,198.0,21.698630136986303,5.0,11.0,0.313,276.0,331.0,-55.0,16.0,5358.0,1024.0,5.2,31.0,14.0,305.0,303.0,515.0,3285.0,17.0,17.0,6.0,163.0,481.0,2073.0,13.0,4.3,118.0,108.0,895.0,24.0,27.3,15.8,-132.3
Brandon Stokley,Bengals,27.0,16.0,13.0,108.0,73.0,978.0,13.4,4.0,48.0,58.3,62.0,9.1,4.6,61.1,0.0,2004.0,14290.0,19990105.0,1999.0,73.0,197.0,70504.0,2503158.0,72.0,194.0,22.83013698630137,8.0,8.0,0.5,346.0,384.0,-38.0,16.0,5329.0,1038.0,5.1,22.0,7.0,313.0,324.0,520.0,3342.0,26.0,15.0,6.0,181.0,481.0,1987.0,12.0,4.1,101.0,107.0,846.0,31.0,33.3,11.1,-78.22
Anquan Boldin,Dolphins,26.0,15.0,15.0,140.0,69.0,898.0,13.0,7.0,44.0,42.9,76.0,6.4,4.6,59.9,1.0,2004.0,15157.0,20030054.0,2003.0,72.6,216.0,32306.0,2505587.0,73.0,220.0,22.575342465753423,10.0,6.0,0.625,311.0,261.0,50.0,16.0,4609.0,968.0,4.8,34.0,15.0,266.0,257.0,450.0,2792.0,17.0,19.0,5.8,145.0,487.0,1817.0,14.0,3.7,99.0,103.0,913.0,22.0,28.1,17.2,-177.92
David Givens,Vikings,23.0,16.0,15.0,102.0,68.0,1006.0,14.8,9.0,50.0,61.8,68.0,9.9,4.3,62.9,1.0,2004.0,14965.0,20020253.0,2002.0,72.0,217.0,46556.0,2505214.0,72.0,215.0,21.69041095890411,9.0,7.0,0.563,416.0,353.0,63.0,16.0,6294.0,1055.0,6.0,24.0,11.0,336.0,333.0,520.0,3951.0,32.0,13.0,7.0,194.0,493.0,2343.0,15.0,4.8,124.0,127.0,1029.0,18.0,35.5,13.1,8.32
